"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST00000449","INVO00000165","8.6","12-Sep-2014"
"CUST00000455","INVO00000166","87.69","24-May-2012"
"CUST00000455","INVO00000167","78.98","17-May-2013"
"CUST00000456","INVO00000168","31.86","18-Feb-2017"
"CUST00000463","INVO00000169","299.02","7-Nov-2013"
"CUST00000469","INVO00000170","5.1","2-Oct-2011"
"CUST00000479","INVO00000171","1.16","0-Jul-2019"
"CUST00000481","INVO00000172","944.16","28-Jul-2016"
"CUST00000481","INVO00000173","6.18","6-Oct-2011"
"CUST00000490","INVO00000174","855.39","4-Feb-2014"
"CUST00000491","INVO00000175","7.11","17-Apr-2013"
"CUST00000493","INVO00000176","2.89","17-Mar-2016"
"CUST00000493","INVO00000177","6.09","13-Mar-2011"
"CUST00000493","INVO00000178","47.48","13-Jan-2010"
"CUST00000502","INVO00000179","4.53","15-Jul-2011"
"CUST00000502","INVO00000180","8.39","27-Nov-2017"
"CUST00000502","INVO00000181","8.21","22-Aug-2015"
"CUST00000510","INVO00000182","52.17","24-Apr-2015"
"CUST00000513","INVO00000183","97.73","9-Oct-2013"
"CUST00000519","INVO00000184","9.12","25-Dec-2017"
"CUST00000519","INVO00000185","555.12","21-Mar-2016"
"CUST00000519","INVO00000186","90.09","11-Jun-2012"
"CUST00000520","INVO00000187","250.85","23-Jun-2015"
"CUST00000521","INVO00000188","197.37","13-Jun-2019"
"CUST00000524","INVO00000189","21.72","27-Jan-2019"
"CUST00000524","INVO00000190","4.97","25-Nov-2012"
"CUST00000524","INVO00000191","52.46","22-Jan-2019"
"CUST00000531","INVO00000192","196.95","17-Oct-2014"
"CUST00000539","INVO00000193","8.94","4-Feb-2019"
"CUST00000546","INVO00000194","9.08","0-Apr-2010"
"CUST00000546","INVO00000195","15.7","2-May-2013"
"CUST00000546","INVO00000196","812.9","15-Jun-2010"
"CUST00000555","INVO00000197","8.04","21-Jul-2015"
"CUST00000555","INVO00000198","569.35","22-Oct-2011"
"CUST00000560","INVO00000199","4.11","6-Oct-2017"
"CUST00000560","INVO00000200","8.91","27-Apr-2016"
"CUST00000560","INVO00000201","24.78","29-Sep-2017"
"CUST00000565","INVO00000202","77.69","9-Jul-2010"
"CUST00000565","INVO00000203","53.47","28-Sep-2010"
"CUST00000565","INVO00000204","372.7","17-Jul-2019"
"CUST00000568","INVO00000205","82.21","27-Sep-2018"
"CUST00000568","INVO00000206","7.73","9-Feb-2014"
"CUST00000568","INVO00000207","6.16","24-Jan-2013"
"CUST00000574","INVO00000208","8.16","9-Sep-2012"
"CUST00000574","INVO00000209","860.47","23-Apr-2013"
"CUST00000584","INVO00000210","539.57","28-Oct-2016"
"CUST00000584","INVO00000211","1.01","3-Aug-2019"
"CUST00000584","INVO00000212","1.27","2-Jan-2012"
"CUST00000587","INVO00000213","150.84","26-Nov-2015"
"CUST00000587","INVO00000214","87.01","0-Mar-2013"
"CUST00000587","INVO00000215","86.37","14-Dec-2013"
"CUST00000590","INVO00000216","807.29","24-Feb-2016"
"CUST00000592","INVO00000217","82.58","13-Aug-2017"
"CUST00000592","INVO00000218","1.23","20-Feb-2013"
"CUST00000592","INVO00000219","360.59","28-Jun-2014"
"CUST00000594","INVO00000220","7.15","25-Dec-2013"
"CUST00000594","INVO00000221","20.62","18-Jul-2018"
"CUST00000599","INVO00000222","975.25","13-Dec-2010"
"CUST00000599","INVO00000223","66.65","0-Mar-2016"
"CUST00000603","INVO00000224","8.81","5-Jun-2012"
"CUST00000603","INVO00000225","44.67","5-Jun-2019"
"CUST00000605","INVO00000226","673.38","1-Apr-2012"
"CUST00000605","INVO00000227","660.85","14-Jan-2019"
"CUST00000606","INVO00000228","622.92","18-Jul-2010"
"CUST00000606","INVO00000229","8.13","15-Oct-2019"
"CUST00000613","INVO00000230","76.11","23-Jun-2011"
"CUST00000613","INVO00000231","362.14","22-Jun-2010"
"CUST00000613","INVO00000232","6.2","6-Feb-2017"
"CUST00000616","INVO00000233","617.65","23-Sep-2016"
"CUST00000616","INVO00000234","53.61","13-May-2011"
"CUST00000626","INVO00000235","9.14","9-Jul-2011"
"CUST00000631","INVO00000236","668.78","22-Feb-2011"
"CUST00000631","INVO00000237","466.26","22-Mar-2012"
"CUST00000631","INVO00000238","8.11","5-Sep-2019"
"CUST00000639","INVO00000239","4.25","14-Apr-2019"
"CUST00000641","INVO00000240","663.7","22-Apr-2011"
"CUST00000641","INVO00000241","9.91","27-Dec-2017"
"CUST00000641","INVO00000242","9.48","22-Mar-2016"
"CUST00000651","INVO00000243","46.88","29-Mar-2013"
"CUST00000651","INVO00000244","6.06","0-Feb-2015"
"CUST00000658","INVO00000245","40.35","9-Nov-2014"
"CUST00000658","INVO00000246","13.83","16-Mar-2011"
"CUST00000668","INVO00000247","4.45","7-May-2013"
"CUST00000668","INVO00000248","6.14","8-Mar-2014"
"CUST00000668","INVO00000249","699.57","2-Mar-2012"
"CUST00000678","INVO00000250","983.89","11-Jul-2017"
"CUST00000678","INVO00000251","533.2","24-Jun-2010"
"CUST00000678","INVO00000252","49.84","4-Apr-2016"
"CUST00000686","INVO00000253","10.51","18-Feb-2011"
"CUST00000686","INVO00000254","125.01","28-Jul-2012"
"CUST00000686","INVO00000255","58.41","5-Feb-2012"
"CUST00000696","INVO00000256","50.7","19-Sep-2010"
"CUST00000698","INVO00000257","87.61","23-Apr-2015"
"CUST00000698","INVO00000258","3.67","23-Sep-2013"
"CUST00000698","INVO00000259","95.75","0-Mar-2015"
"CUST00000704","INVO00000260","81.95","23-Jan-2014"
"CUST00000704","INVO00000261","9.2","26-Sep-2013"
"CUST00000704","INVO00000262","83.32","5-Aug-2011"
"CUST00000713","INVO00000263","24.21","9-Oct-2014"
"CUST00000720","INVO00000264","599.62","19-May-2018"
"CUST00000721","INVO00000265","21.57","24-Sep-2016"
"CUST00000727","INVO00000266","944.53","20-Mar-2013"
"CUST00000727","INVO00000267","773.18","9-Jan-2016"
"CUST00000731","INVO00000268","227.82","14-Sep-2019"
"CUST00000731","INVO00000269","9.67","19-Nov-2018"
"CUST00000731","INVO00000270","740.59","25-May-2011"
"CUST00000740","INVO00000271","6.43","1-Aug-2015"
"CUST00000740","INVO00000272","598.19","10-Aug-2014"
"CUST00000740","INVO00000273","5.83","4-Oct-2015"
"CUST00000746","INVO00000274","551.68","13-Jun-2015"
"CUST00000746","INVO00000275","487.57","9-Feb-2015"
"CUST00000756","INVO00000276","9.79","4-Feb-2016"
"CUST00000760","INVO00000277","8.92","14-Dec-2019"
"CUST00000760","INVO00000278","878.19","12-Feb-2014"
"CUST00000760","INVO00000279","290.38","1-Oct-2016"
"CUST00000770","INVO00000280","60.84","2-Apr-2019"
"CUST00000770","INVO00000281","21.62","21-Dec-2012"
"CUST00000775","INVO00000282","521.44","23-Jul-2010"
"CUST00000775","INVO00000283","9.05","24-Jun-2017"
"CUST00000777","INVO00000284","94.42","24-Oct-2012"
"CUST00000777","INVO00000285","75.7","15-Nov-2015"
"CUST00000778","INVO00000286","1.68","17-Feb-2010"
"CUST00000778","INVO00000287","140.67","13-Sep-2018"
"CUST00000778","INVO00000288","524.97","29-Oct-2018"
"CUST00000779","INVO00000289","9.41","10-Jul-2011"
"CUST00000788","INVO00000290","7.77","16-Aug-2017"
"CUST00000788","INVO00000291","9.58","25-Jul-2010"
"CUST00000796","INVO00000292","6.09","18-Mar-2012"
"CUST00000796","INVO00000293","6.53","26-Jul-2014"
"CUST00000804","INVO00000294","4.14","17-Apr-2015"
"CUST00000808","INVO00000295","3.23","9-Nov-2019"
"CUST00000815","INVO00000296","90.46","3-Aug-2019"
"CUST00000821","INVO00000297","79.03","12-Apr-2014"
"CUST00000821","INVO00000298","83.41","29-Apr-2011"
"CUST00000822","INVO00000299","6.9","0-Apr-2012"
"CUST00000827","INVO00000300","3.97","27-Aug-2015"
"CUST00000828","INVO00000301","47.07","1-Mar-2013"
"CUST00000828","INVO00000302","6.03","25-Oct-2017"
"CUST00000828","INVO00000303","312.87","9-Oct-2017"
"CUST00000837","INVO00000304","110.77","29-Apr-2012"
"CUST00000837","INVO00000305","32.59","7-Mar-2012"
"CUST00000837","INVO00000306","38.46","20-Mar-2016"
"CUST00000843","INVO00000307","62.27","28-Mar-2013"
"CUST00000843","INVO00000308","373.88","28-Jun-2013"
"CUST00000847","INVO00000309","235.55","2-Apr-2016"
"CUST00000847","INVO00000310","44.76","24-Sep-2013"
"CUST00000854","INVO00000311","41.13","21-Dec-2013"
"CUST00000854","INVO00000312","974.76","12-Oct-2019"
"CUST00000861","INVO00000313","771.4","16-Apr-2016"
"CUST00000862","INVO00000314","35.1","20-Oct-2011"
"CUST00000862","INVO00000315","469.07","3-Aug-2013"
"CUST00000868","INVO00000316","218.21","28-Jan-2012"
"CUST00000869","INVO00000317","8.24","1-Apr-2017"
"CUST00000869","INVO00000318","7.31","24-Oct-2017"
"CUST00000872","INVO00000319","874.83","24-Aug-2016"
"CUST00000879","INVO00000320","83.84","21-Jun-2012"
"CUST00000879","INVO00000321","2.91","15-Oct-2019"
"CUST00000881","INVO00000322","9.26","5-Sep-2010"
"CUST00000881","INVO00000323","5.09","28-Mar-2016"
"CUST00000881","INVO00000324","398.03","2-Jan-2016"
"CUST00000888","INVO00000325","1.53","29-Mar-2011"
"CUST00000888","INVO00000326","6.66","26-Jul-2019"
"CUST00000888","INVO00000327","101.95","20-Jul-2017"
"CUST00000891","INVO00000328","250.39","29-Apr-2013"
"CUST00000891","INVO00000329","7.7","17-May-2010"
"CUST00000897","INVO00000330","93.85","18-Jun-2010"
"CUST00000897","INVO00000331","25.52","13-Apr-2015"
"CUST00000901","INVO00000332","3.77","29-Nov-2014"
"CUST00000901","INVO00000333","39.16","12-Sep-2010"
"CUST00000909","INVO00000334","694.97","20-Aug-2011"
"CUST00000909","INVO00000335","72.09","22-Jun-2016"
"CUST00000909","INVO00000336","578.72","19-Jul-2018"
"CUST00000912","INVO00000337","599.26","3-Jan-2016"
"CUST00000912","INVO00000338","243.41","23-Apr-2010"
"CUST00000912","INVO00000339","7.35","4-Jan-2013"
"CUST00000918","INVO00000340","26.64","9-May-2017"
"CUST00000919","INVO00000341","498.52","22-Sep-2017"
"CUST00000922","INVO00000342","1.51","4-Jun-2017"
"CUST00000922","INVO00000343","43.4","24-Feb-2014"
"CUST00000923","INVO00000344","66.25","9-Jan-2017"
"CUST00000923","INVO00000345","2.5","21-Sep-2014"
"CUST00000923","INVO00000346","27.19","20-Apr-2013"
"CUST00000929","INVO00000347","842.29","28-Jun-2018"
"CUST00000929","INVO00000348","6.38","13-Jun-2011"
"CUST00000929","INVO00000349","7.83","19-Mar-2015"
"CUST00000930","INVO00000350","45.38","28-Apr-2011"
"CUST00000930","INVO00000351","78.69","13-Jul-2014"
"CUST00000938","INVO00000352","2.79","9-Dec-2012"
"CUST00000938","INVO00000353","2.16","27-Dec-2019"
"CUST00000942","INVO00000354","30.62","22-Feb-2013"
"CUST00000947","INVO00000355","877.72","4-Feb-2019"
"CUST00000947","INVO00000356","3.53","9-Nov-2012"
"CUST00000947","INVO00000357","937.18","12-Aug-2012"
"CUST00000948","INVO00000358","622.31","22-May-2013"
"CUST00000948","INVO00000359","8.72","13-Oct-2019"
"CUST00000956","INVO00000360","3.21","14-Mar-2016"
"CUST00000961","INVO00000361","2.32","19-Apr-2014"
"CUST00000961","INVO00000362","5.86","9-Oct-2019"
"CUST00000964","INVO00000363","762.26","13-Nov-2016"
"CUST00000964","INVO00000364","5.89","1-May-2016"
"CUST00000964","INVO00000365","420.41","7-Aug-2016"
"CUST00000974","INVO00000366","520.95","28-Jan-2017"
"CUST00000974","INVO00000367","77.82","26-Mar-2016"
"CUST00000976","INVO00000368","9.08","8-Dec-2011"
"CUST00000979","INVO00000369","68.61","20-Apr-2011"
"CUST00000979","INVO00000370","21.53","27-Jun-2011"
"CUST00000982","INVO00000371","8.51","23-Jul-2019"
"CUST00000984","INVO00000372","1.04","8-May-2016"
"CUST00000986","INVO00000373","127.79","20-Jul-2018"
"CUST00000986","INVO00000374","5.04","0-May-2015"
"CUST00000990","INVO00000375","1.08","9-Sep-2011"
"CUST00000990","INVO00000376","78.18","21-Jul-2018"
"CUST00000990","INVO00000377","2.7","20-Nov-2011"
"CUST00000994","INVO00000378","74.55","3-Nov-2010"
"CUST00000994","INVO00000379","83.58","1-Sep-2019"
"CUST00000995","INVO00000380","40.4","17-Mar-2015"
"CUST00000995","INVO00000381","4.96","26-Feb-2016"
"CUST00000995","INVO00000382","1.53","23-Feb-2014"
"CUST00000996","INVO00000383","736.21","28-Nov-2017"
"CUST00001000","INVO00000384","797.21","3-Mar-2012"
"CUST00001010","INVO00000385","81.61","5-May-2010"
"CUST00001010","INVO00000386","82.22","15-May-2011"
"CUST00001010","INVO00000387","4.17","26-Jun-2010"
"CUST00001012","INVO00000388","4.14","26-May-2013"
"CUST00001015","INVO00000389","9.74","20-Nov-2016"
"CUST00001015","INVO00000390","802.53","0-Jan-2011"
"CUST00001015","INVO00000391","69.91","26-Aug-2010"
"CUST00001023","INVO00000392","49.59","13-Apr-2014"
"CUST00001023","INVO00000393","773.9","28-Dec-2017"
"CUST00001025","INVO00000394","62.27","23-Feb-2018"
"CUST00001025","INVO00000395","414.0","15-Oct-2013"
"CUST00001033","INVO00000396","291.8","8-Apr-2012"
"CUST00001033","INVO00000397","75.63","6-Apr-2018"
"CUST00001040","INVO00000398","14.82","24-Jul-2011"
"CUST00001040","INVO00000399","813.76","19-Nov-2017"
"CUST00001040","INVO00000400","99.0","23-Mar-2016"
"CUST00001046","INVO00000401","47.87","25-May-2017"
"CUST00001048","INVO00000402","294.44","27-Jan-2018"
"CUST00001055","INVO00000403","50.69","29-Mar-2019"
"CUST00001055","INVO00000404","948.24","17-May-2016"
"CUST00001055","INVO00000405","6.76","6-Apr-2016"
"CUST00001058","INVO00000406","4.52","27-Feb-2017"
"CUST00001058","INVO00000407","7.52","2-Jul-2017"
"CUST00001058","INVO00000408","501.29","24-Jan-2013"
"CUST00001062","INVO00000409","16.89","16-Mar-2010"
"CUST00001062","INVO00000410","4.16","10-Jan-2015"
"CUST00001065","INVO00000411","4.65","16-May-2016"
"CUST00001065","INVO00000412","683.09","23-Aug-2015"
"CUST00001065","INVO00000413","52.0","14-Oct-2016"
"CUST00001070","INVO00000414","9.05","11-Oct-2017"
"CUST00001070","INVO00000415","46.72","12-Jun-2014"
"CUST00001070","INVO00000416","62.39","27-Feb-2017"
"CUST00001073","INVO00000417","25.4","11-Jul-2011"
"CUST00001073","INVO00000418","3.93","20-Sep-2014"
"CUST00001073","INVO00000419","4.77","27-Jan-2017"
"CUST00001083","INVO00000420","987.59","15-Nov-2014"
"CUST00001083","INVO00000421","5.78","4-Dec-2015"
"CUST00001083","INVO00000422","446.26","14-Jun-2013"
"CUST00001093","INVO00000423","83.07","27-Jun-2014"
"CUST00001094","INVO00000424","804.93","18-Nov-2010"
"CUST00001094","INVO00000425","8.39","8-Nov-2019"
"CUST00001094","INVO00000426","47.57","27-Jun-2015"
"CUST00001104","INVO00000427","37.24","13-Jan-2016"
"CUST00001104","INVO00000428","553.08","17-Sep-2018"
"CUST00001104","INVO00000429","145.21","12-Mar-2010"
"CUST00001107","INVO00000430","7.04","7-Jul-2010"
"CUST00001113","INVO00000431","96.98","24-Aug-2014"
"CUST00001113","INVO00000432","2.03","1-Jun-2012"
"CUST00001113","INVO00000433","508.97","19-Oct-2019"
"CUST00001115","INVO00000434","781.35","23-Jan-2012"
"CUST00001115","INVO00000435","44.78","10-Apr-2017"
"CUST00001121","INVO00000436","49.56","6-Feb-2016"
"CUST00001121","INVO00000437","47.33","2-Sep-2014"
"CUST00001126","INVO00000438","32.77","7-Dec-2018"
"CUST00001126","INVO00000439","90.13","16-Aug-2015"
"CUST00001128","INVO00000440","1.0","14-Jun-2014"
"CUST00001128","INVO00000441","167.11","14-Mar-2018"
"CUST00001128","INVO00000442","134.73","2-Jul-2017"
"CUST00001138","INVO00000443","62.25","25-Mar-2019"
"CUST00001138","INVO00000444","585.18","4-Apr-2013"
"CUST00001139","INVO00000445","467.41","5-Nov-2014"
"CUST00001139","INVO00000446","5.88","9-Dec-2013"
"CUST00001140","INVO00000447","374.93","19-Sep-2018"
"CUST00001140","INVO00000448","55.18","4-Dec-2019"
"CUST00001140","INVO00000449","87.27","5-Apr-2015"
"CUST00001142","INVO00000450","548.06","18-Nov-2010"
"CUST00001142","INVO00000451","726.93","18-Dec-2011"
"CUST00001143","INVO00000452","81.54","29-Jan-2019"
"CUST00001143","INVO00000453","7.83","14-Apr-2015"
"CUST00001145","INVO00000454","9.35","7-Oct-2014"
"CUST00001145","INVO00000455","676.96","21-Aug-2010"
"CUST00001152","INVO00000456","2.36","0-Dec-2015"
"CUST00001153","INVO00000457","6.14","2-May-2016"
"CUST00001153","INVO00000458","625.04","7-Oct-2014"
"CUST00001153","INVO00000459","472.38","29-Apr-2010"
"CUST00001160","INVO00000460","22.28","1-Nov-2016"
"CUST00001162","INVO00000461","71.21","8-Sep-2019"
"CUST00001162","INVO00000462","8.22","17-Apr-2010"
"CUST00001162","INVO00000463","23.11","17-Nov-2014"
"CUST00001169","INVO00000464","6.53","25-Jul-2011"
"CUST00001169","INVO00000465","911.33","5-Oct-2012"
"CUST00001169","INVO00000466","660.87","13-Oct-2016"
"CUST00001172","INVO00000467","11.29","1-Feb-2010"
"CUST00001174","INVO00000468","53.21","2-Sep-2018"
"CUST00001174","INVO00000469","159.68","21-Mar-2015"
"CUST00001174","INVO00000470","220.42","12-Mar-2015"
"CUST00001177","INVO00000471","42.2","28-Aug-2011"
"CUST00001180","INVO00000472","99.27","7-Oct-2012"
"CUST00001180","INVO00000473","12.86","1-Nov-2011"
"CUST00001180","INVO00000474","6.22","15-Jun-2015"
"CUST00001190","INVO00000475","42.02","28-Aug-2015"
"CUST00001190","INVO00000476","24.26","15-Aug-2016"
"CUST00001198","INVO00000477","7.85","25-Dec-2019"
"CUST00001198","INVO00000478","822.62","27-Dec-2014"
"CUST00001198","INVO00000479","7.52","29-Feb-2016"
"CUST00001199","INVO00000480","37.39","16-Nov-2019"
"CUST00001199","INVO00000481","59.47","20-Oct-2013"
"CUST00001204","INVO00000482","6.61","23-Dec-2019"
