"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"INVO00000301","LOYAL1262","2.76","319"
"INVO00000301","VAL5847","70.68","519"
"INVO00000310","VAL6634","13.44","974"
"INVO00000314","VAL0362","75.2","878"
"INVO00000321","5YEARS2911","168.91","378"
"INVO00000321","LOYAL8956","3.85","366"
"INVO00000326","DIS4403","21.63","219"
"INVO00000326","10YEARS9671","131.34","652"
"INVO00000326","DIS4868","8.31","751"
"INVO00000328","VAL4822","44.34","14"
"INVO00000328","5YEARS1670","2.98","145"
"INVO00000332","VAL5422","62.62","541"
"INVO00000332","DIS0394","89.34","136"
"INVO00000332","DIS9034","5.15","699"
"INVO00000342","10YEARS8918","43.13","554"
"INVO00000342","VAL6791","8.8","171"
"INVO00000342","5YEARS6026","67.97","403"
"INVO00000346","DIS6923","62.0","527"
"INVO00000346","CM2400","30.66","258"
"INVO00000346","CM1038","60.6","211"
"INVO00000356","DIS1028","91.1","820"
"INVO00000356","10YEARS5424","9.63","887"
"INVO00000358","10YEARS3790","176.38","68"
"INVO00000358","LOYAL9725","46.73","687"
"INVO00000358","10YEARS3909","410.02","1000"
"INVO00000368","5YEARS9636","7.04","135"
"INVO00000368","VAL2321","3.31","116"
"INVO00000368","5YEARS9257","11.27","512"
"INVO00000369","10YEARS8245","9.17","56"
"INVO00000369","DIS9696","103.4","586"
"INVO00000369","VAL5419","482.55","493"
"INVO00000376","CM9816","13.34","985"
"INVO00000382","VAL4416","6.76","218"
"INVO00000382","5YEARS9870","341.85","522"
"INVO00000387","VAL9619","43.9","155"
"INVO00000387","5YEARS6878","76.4","869"
"INVO00000395","10YEARS9628","7.28","927"
"INVO00000397","VAL5180","8.61","305"
"INVO00000397","10YEARS9626","5.86","745"
"INVO00000397","LOYAL0657","1.1","738"
"INVO00000402","CM4688","65.99","301"
"INVO00000402","LOYAL4285","50.42","597"
"INVO00000402","5YEARS9485","221.05","847"
"INVO00000406","DIS3927","92.31","950"
"INVO00000406","10YEARS3994","8.38","264"
"INVO00000406","5YEARS7578","8.28","811"
"INVO00000416","DIS4050","7.64","546"
"INVO00000416","LOYAL2725","5.89","358"
"INVO00000424","10YEARS3765","9.23","549"
"INVO00000424","5YEARS4452","6.99","948"
"INVO00000434","VAL8890","1.91","388"
"INVO00000434","DIS2450","34.7","482"
"INVO00000434","5YEARS6432","15.95","161"
"INVO00000439","CM4876","6.65","508"
"INVO00000439","5YEARS8094","4.86","901"
"INVO00000440","5YEARS9420","7.04","496"
"INVO00000447","VAL5224","87.33","854"
"INVO00000447","LOYAL1232","63.97","837"
"INVO00000454","10YEARS3335","5.06","763"
"INVO00000454","LOYAL5122","5.16","238"
"INVO00000454","10YEARS4465","4.11","432"
"INVO00000464","10YEARS9332","76.79","799"
"INVO00000467","DIS6507","7.97","858"
"INVO00000467","DIS5730","300.0","161"
"INVO00000467","VAL8820","8.0","729"
"INVO00000476","LOYAL6696","4.83","707"
"INVO00000476","10YEARS7602","7.39","641"
"INVO00000485","CM5320","97.56","587"
"INVO00000485","VAL5124","74.32","666"
"INVO00000485","CM0456","9.66","315"
"INVO00000489","5YEARS6009","12.27","919"
"INVO00000489","VAL6398","91.16","221"
"INVO00000489","5YEARS2412","3.55","138"
"INVO00000492","10YEARS9542","66.26","223"
"INVO00000492","VAL0093","8.32","554"
"INVO00000492","CM9116","33.53","405"
"INVO00000496","10YEARS4005","58.56","967"
"INVO00000502","LOYAL9890","3.55","94"
"INVO00000502","5YEARS5163","87.81","881"
"INVO00000508","CM1325","8.55","747"
"INVO00000508","VAL2489","282.81","998"
"INVO00000508","5YEARS1410","29.45","754"
"INVO00000512","10YEARS2232","12.18","222"
"INVO00000518","10YEARS0205","40.73","810"
"INVO00000518","DIS6464","68.97","605"
"INVO00000526","LOYAL5461","9.57","725"
"INVO00000526","LOYAL4050","54.56","338"
"INVO00000526","5YEARS1930","71.66","769"
"INVO00000528","LOYAL2036","58.88","878"
"INVO00000528","VAL5722","8.15","134"
"INVO00000533","CM8119","436.57","264"
"INVO00000533","CM1907","3.18","260"
"INVO00000536","VAL3359","8.58","649"
"INVO00000536","CM9433","43.07","913"
"INVO00000536","LOYAL3317","85.43","555"
"INVO00000546","5YEARS7953","5.62","859"
"INVO00000546","CM8122","18.51","876"
"INVO00000546","DIS1801","25.81","735"
"INVO00000554","DIS8274","360.77","298"
"INVO00000554","CM9506","87.46","967"
"INVO00000562","CM6851","399.88","201"
"INVO00000568","DIS3813","7.7","535"
"INVO00000568","5YEARS0629","45.8","846"
"INVO00000568","10YEARS2885","79.41","726"
"INVO00000572","10YEARS0318","8.0","456"
"INVO00000575","CM2771","37.58","691"
"INVO00000583","10YEARS0492","29.8","258"
"INVO00000585","10YEARS2434","403.29","76"
"INVO00000585","5YEARS1883","38.73","231"
"INVO00000587","CM1192","79.49","751"
"INVO00000591","CM4018","58.23","925"
"INVO00000591","10YEARS6545","144.53","123"
"INVO00000600","DIS1544","10.53","231"
"INVO00000600","VAL6369","2.77","608"
"INVO00000601","CM1645","88.34","782"
"INVO00000610","VAL7630","485.96","522"
"INVO00000610","LOYAL8448","212.0","406"
"INVO00000610","VAL4475","6.76","649"
"INVO00000612","DIS9406","42.32","1000"
"INVO00000612","DIS1939","44.68","181"
"INVO00000621","5YEARS9606","35.35","284"
"INVO00000621","LOYAL7872","57.02","485"
"INVO00000621","10YEARS0490","7.29","906"
"INVO00000630","CM2519","3.43","605"
"INVO00000634","CM0654","3.59","595"
"INVO00000634","CM8496","1.77","489"
"INVO00000644","LOYAL2013","93.22","257"
"INVO00000652","VAL5187","4.62","106"
"INVO00000652","VAL5292","13.37","254"
"INVO00000652","VAL9945","80.38","747"
"INVO00000657","VAL4807","5.07","600"
"INVO00000661","CM6264","352.02","338"
"INVO00000661","10YEARS6025","35.47","10"
"INVO00000666","LOYAL5200","2.23","445"
"INVO00000666","10YEARS5251","77.92","500"
"INVO00000666","LOYAL2404","8.44","387"
"INVO00000668","VAL9624","90.24","79"
"INVO00000668","CM5170","78.25","456"
"INVO00000668","VAL0139","480.41","208"
"INVO00000678","10YEARS1014","28.97","387"
"INVO00000683","VAL2153","29.03","193"
"INVO00000683","VAL7508","92.72","392"
"INVO00000683","DIS9209","2.59","53"
"INVO00000685","10YEARS2633","47.23","287"
"INVO00000688","LOYAL8244","68.03","837"
"INVO00000688","5YEARS7230","6.84","404"
"INVO00000696","DIS0828","1.13","928"
"INVO00000696","10YEARS2114","16.93","431"
"INVO00000705","DIS1084","1.51","828"
"INVO00000705","10YEARS4311","51.94","989"
"INVO00000715","VAL7067","49.48","509"
"INVO00000723","5YEARS6153","5.14","213"
"INVO00000723","VAL5161","40.08","552"
"INVO00000729","DIS1714","6.39","470"
"INVO00000737","VAL2116","13.69","304"
"INVO00000737","5YEARS7065","8.79","726"
"INVO00000741","CM0910","2.11","94"
"INVO00000745","LOYAL2549","8.01","629"
"INVO00000745","DIS9961","3.69","420"
"INVO00000745","10YEARS4889","9.55","28"
"INVO00000747","10YEARS5015","10.68","256"
"INVO00000747","LOYAL5489","7.53","969"
"INVO00000749","10YEARS6895","1.69","637"
"INVO00000757","5YEARS2360","52.2","381"
"INVO00000767","DIS1004","316.45","55"
"INVO00000767","VAL5070","62.19","298"
"INVO00000771","CM3220","7.78","676"
"INVO00000771","5YEARS9624","8.15","344"
"INVO00000777","VAL9992","76.42","255"
"INVO00000779","VAL2993","285.08","141"
"INVO00000789","VAL2325","3.36","377"
"INVO00000789","5YEARS8705","6.96","552"
"INVO00000793","DIS0086","1.42","679"
"INVO00000793","5YEARS5063","4.53","414"
"INVO00000793","CM2008","2.26","584"
"INVO00000798","5YEARS9779","5.41","725"
"INVO00000808","CM2175","42.42","928"
"INVO00000814","5YEARS2523","419.66","992"
"INVO00000814","LOYAL8746","251.51","796"
"INVO00000814","DIS5609","102.19","378"
"INVO00000819","VAL9535","77.85","919"
"INVO00000825","CM8811","480.17","322"
"INVO00000825","LOYAL7753","82.21","907"
"INVO00000825","10YEARS0852","74.44","100"
"INVO00000828","CM6177","434.38","795"
"INVO00000830","10YEARS4230","9.61","110"
"INVO00000839","VAL4269","3.86","444"
"INVO00000849","CM5754","7.99","474"
"INVO00000852","LOYAL7476","79.48","321"
"INVO00000862","LOYAL0668","186.57","372"
"INVO00000863","10YEARS1479","96.22","879"
"INVO00000872","CM9245","9.43","360"
"INVO00000872","VAL8390","7.01","65"
"INVO00000882","VAL4696","4.57","488"
"INVO00000882","DIS9516","42.97","325"
"INVO00000885","10YEARS0091","43.03","255"
"INVO00000895","5YEARS3500","79.66","998"
"INVO00000895","DIS7585","6.9","556"
"INVO00000895","CM2937","3.71","217"
"INVO00000903","5YEARS2077","6.89","112"
"INVO00000913","VAL8645","317.2","243"
"INVO00000920","CM1442","396.59","207"
"INVO00000920","CM4719","86.49","284"
"INVO00000920","VAL8224","11.77","465"
"INVO00000923","CM9140","57.09","729"
"INVO00000923","DIS7923","19.63","27"
"INVO00000923","VAL5521","66.15","83"
"INVO00000933","LOYAL8835","22.69","461"
"INVO00000933","5YEARS4480","27.06","660"
"INVO00000934","VAL4205","6.28","186"
"INVO00000938","5YEARS2957","9.75","78"
"INVO00000945","LOYAL6881","63.47","638"
"INVO00000945","5YEARS9299","5.28","680"
"INVO00000951","DIS1217","164.76","198"
"INVO00000951","LOYAL2148","43.18","842"
"INVO00000951","10YEARS5790","2.74","748"
"INVO00000955","5YEARS0038","4.39","574"
"INVO00000965","VAL4995","5.33","931"
"INVO00000965","DIS7236","2.4","868"
"INVO00000967","10YEARS8467","3.57","698"
"INVO00000976","5YEARS0978","47.78","155"
"INVO00000976","10YEARS4221","59.63","962"
"INVO00000984","VAL7922","1.22","253"
"INVO00000985","LOYAL6191","3.29","557"
"INVO00000986","VAL0237","1.87","748"
"INVO00000996","LOYAL5080","4.78","679"
"INVO00001005","VAL2260","70.58","376"
"INVO00001005","VAL0019","1.69","147"
"INVO00001013","CM8514","145.17","934"
"INVO00001013","VAL9444","9.56","657"
"INVO00001013","DIS8678","9.57","182"
"INVO00001015","LOYAL0210","49.73","969"
"INVO00001015","DIS6705","1.57","304"
"INVO00001015","CM5919","90.76","326"
"INVO00001017","10YEARS9209","1.26","408"
"INVO00001026","LOYAL7266","1.28","52"
"INVO00001026","DIS9365","442.63","866"
"INVO00001034","LOYAL0977","4.91","554"
"INVO00001034","DIS9024","6.94","629"
"INVO00001038","DIS4928","9.71","619"
"INVO00001047","LOYAL3355","493.53","430"
"INVO00001047","VAL1751","55.29","701"
"INVO00001047","LOYAL5522","483.8","662"
"INVO00001052","VAL3973","4.13","460"
"INVO00001052","DIS2625","1.74","174"
"INVO00001052","LOYAL0382","5.48","498"
"INVO00001062","DIS4655","448.67","383"
"INVO00001062","VAL1062","263.12","391"
"INVO00001062","10YEARS4158","12.52","145"
"INVO00001070","LOYAL5382","3.75","681"
"INVO00001070","LOYAL3563","68.75","466"
"INVO00001074","VAL5459","84.89","260"
"INVO00001074","CM1137","4.1","357"
"INVO00001083","DIS2568","32.82","227"
"INVO00001083","LOYAL7716","8.59","15"
"INVO00001092","5YEARS8082","18.31","303"
"INVO00001092","VAL7970","96.29","222"
"INVO00001094","CM8260","7.3","388"
"INVO00001094","VAL4542","258.6","954"
"INVO00001094","5YEARS6485","2.34","229"
"INVO00001104","5YEARS4658","4.31","786"
"INVO00001107","DIS1148","35.26","576"
"INVO00001107","VAL9367","8.6","714"
"INVO00001113","DIS9249","22.9","57"
"INVO00001118","5YEARS4186","1.16","746"
"INVO00001118","5YEARS0171","97.4","256"
"INVO00001124","DIS4065","3.8","758"
"INVO00001124","LOYAL1726","28.94","482"
"INVO00001124","5YEARS7182","3.85","764"
"INVO00001132","CM5247","41.94","505"
"INVO00001137","5YEARS1026","4.23","911"
"INVO00001137","5YEARS6251","13.33","5"
"INVO00001141","5YEARS9070","8.79","777"
"INVO00001141","VAL8914","8.22","289"
"INVO00001144","LOYAL9228","87.97","568"
"INVO00001144","LOYAL1713","1.04","184"
"INVO00001150","10YEARS5918","6.73","121"
"INVO00001150","DIS6307","26.59","116"
"INVO00001157","LOYAL8732","5.35","658"
"INVO00001157","VAL1096","3.77","366"
"INVO00001164","CM9769","99.75","923"
"INVO00001164","5YEARS4906","4.44","528"
"INVO00001164","DIS6938","14.18","558"
"INVO00001170","5YEARS1698","5.97","872"
"INVO00001170","LOYAL8151","481.59","503"
"INVO00001175","5YEARS5111","6.84","85"
"INVO00001175","5YEARS2867","4.12","430"
"INVO00001185","VAL1837","293.77","127"
"INVO00001185","LOYAL7700","18.45","421"
"INVO00001185","VAL0380","87.16","125"
"INVO00001188","10YEARS4404","1.76","322"
"INVO00001188","LOYAL3857","46.82","540"
"INVO00001195","5YEARS7658","24.05","976"
"INVO00001195","CM9087","7.88","978"
"INVO00001195","DIS9820","8.2","441"
"INVO00001205","CM8552","95.56","786"
"INVO00001207","CM8276","368.9","556"
"INVO00001207","10YEARS3286","323.17","335"
"INVO00001210","LOYAL4438","69.42","192"
"INVO00001210","CM4355","5.19","217"
"INVO00001210","5YEARS1241","7.35","217"
"INVO00001215","5YEARS3135","53.93","620"
"INVO00001215","LOYAL7051","12.74","414"
"INVO00001219","10YEARS8100","5.56","7"
"INVO00001229","CM7733","6.78","745"
"INVO00001229","CM6593","2.1","401"
"INVO00001237","DIS1315","12.58","162"
"INVO00001237","DIS9161","2.75","245"
"INVO00001237","LOYAL9347","32.44","340"
"INVO00001244","VAL4070","13.7","573"
"INVO00001244","DIS8039","81.33","665"
"INVO00001248","LOYAL9052","80.79","949"
"INVO00001251","LOYAL6771","5.37","231"
"INVO00001260","10YEARS6946","45.8","233"
"INVO00001260","CM9807","30.42","187"
"INVO00001266","10YEARS4732","12.38","548"
"INVO00001266","CM8482","68.27","202"
"INVO00001266","LOYAL7376","141.24","611"
"INVO00001275","10YEARS0861","9.49","736"
"INVO00001275","CM1622","4.8","470"
"INVO00001275","CM5787","56.69","190"
"INVO00001285","VAL3458","51.48","839"
"INVO00001285","DIS2283","23.85","984"
"INVO00001291","CM2573","8.47","417"
"INVO00001291","DIS5353","82.36","295"
"INVO00001292","LOYAL1750","98.73","303"
"INVO00001292","DIS3505","9.41","794"
"INVO00001292","10YEARS7855","7.64","14"
"INVO00001294","DIS6140","2.05","697"
"INVO00001294","LOYAL2863","79.8","266"
"INVO00001294","DIS6416","183.58","224"
"INVO00001303","VAL2458","8.79","931"
"INVO00001307","VAL5288","5.76","528"
"INVO00001307","5YEARS1342","447.1","44"
"INVO00001310","10YEARS4576","96.75","823"
"INVO00001310","CM9211","86.11","72"
"INVO00001315","CM8810","302.92","56"
"INVO00001315","5YEARS2296","60.72","433"
"INVO00001320","5YEARS1784","87.69","881"
"INVO00001320","CM6676","7.16","923"
"INVO00001330","DIS1618","12.45","581"
"INVO00001334","DIS7312","3.83","18"
"INVO00001334","10YEARS7552","69.35","563"
"INVO00001341","CM4001","256.32","303"
"INVO00001344","DIS3535","2.09","387"
"INVO00001347","5YEARS1992","7.39","992"
"INVO00001347","VAL1970","35.59","573"
"INVO00001347","CM5505","4.99","281"
"INVO00001354","5YEARS2082","16.7","556"
"INVO00001363","CM0156","4.07","946"
"INVO00001363","10YEARS3349","9.6","111"
"INVO00001363","CM1726","8.2","533"
"INVO00001366","DIS0424","2.62","944"
"INVO00001366","CM4383","8.37","928"
"INVO00001366","LOYAL5037","55.14","222"
"INVO00001372","DIS2738","7.23","167"
"INVO00001378","VAL5747","2.61","580"
"INVO00001378","LOYAL8628","6.81","822"
"INVO00001378","5YEARS3604","76.21","119"
"INVO00001386","LOYAL5474","2.49","502"
"INVO00001386","VAL7409","9.24","12"
"INVO00001395","VAL0193","8.33","334"
"INVO00001395","VAL0477","57.68","52"
"INVO00001395","10YEARS0977","349.11","939"
"INVO00001396","VAL3765","48.49","824"
"INVO00001396","VAL1238","40.59","776"
"INVO00001399","LOYAL2986","4.43","971"
"INVO00001399","LOYAL8228","16.42","813"
"INVO00001409","DIS0338","39.18","704"
"INVO00001409","10YEARS7763","42.67","400"
"INVO00001410","10YEARS1938","93.03","126"
"INVO00001410","CM9379","11.49","91"
"INVO00001410","VAL1050","334.33","391"
"INVO00001418","10YEARS0500","73.13","851"
"INVO00001421","LOYAL7329","106.61","1"
"INVO00001431","LOYAL2927","56.85","562"
"INVO00001441","VAL3123","3.77","570"
"INVO00001441","DIS4865","52.8","831"
"INVO00001451","10YEARS0272","77.95","210"
"INVO00001455","10YEARS1067","11.58","901"
"INVO00001464","VAL5910","319.77","508"
"INVO00001464","LOYAL3022","7.41","1"
"INVO00001464","LOYAL9490","8.7","957"
"INVO00001467","DIS6783","415.18","518"
"INVO00001470","LOYAL8751","6.13","649"
"INVO00001470","VAL4398","4.72","395"
"INVO00001470","LOYAL2651","87.86","553"
"INVO00001479","LOYAL2282","259.59","692"
"INVO00001489","VAL2398","89.76","529"
"INVO00001489","5YEARS3397","2.02","480"
"INVO00001491","VAL5454","23.26","488"
"INVO00001491","LOYAL2275","99.44","47"
"INVO00001491","LOYAL5444","32.54","91"
"INVO00001500","DIS3867","302.86","146"
"INVO00001507","CM5085","3.83","89"
"INVO00001513","CM5331","3.73","500"
"INVO00001513","CM0442","2.57","593"
"INVO00001516","5YEARS6529","6.84","980"
"INVO00001516","10YEARS2010","25.89","611"
"INVO00001516","DIS3938","3.86","10"
"INVO00001517","CM2542","412.36","579"
"INVO00001517","5YEARS2604","33.14","231"
"INVO00001524","10YEARS1394","4.48","507"
"INVO00001524","5YEARS6782","7.19","669"
"INVO00001524","VAL6216","55.34","777"
"INVO00001534","DIS8819","9.26","209"
"INVO00001534","DIS7641","20.34","258"
"INVO00001544","LOYAL6452","9.43","142"
"INVO00001544","LOYAL7162","39.46","941"
"INVO00001549","VAL0942","20.51","46"
"INVO00001556","5YEARS8687","119.51","54"
"INVO00001558","LOYAL2444","5.54","92"
"INVO00001558","10YEARS4948","39.2","346"
"INVO00001558","CM3951","78.09","344"
"INVO00001559","LOYAL9621","9.69","244"
"INVO00001559","DIS5879","16.36","774"
"INVO00001559","LOYAL7413","3.86","282"
"INVO00001568","10YEARS5798","2.27","61"
"INVO00001574","10YEARS7874","76.51","536"
"INVO00001574","10YEARS3576","1.88","353"
"INVO00001578","5YEARS9131","98.79","186"
"INVO00001579","LOYAL8544","2.01","622"
"INVO00001583","VAL9523","289.6","930"
"INVO00001585","CM0015","203.04","360"
"INVO00001585","5YEARS7679","83.81","982"
"INVO00001585","LOYAL1776","97.5","472"
"INVO00001587","5YEARS1330","79.8","161"
"INVO00001589","10YEARS7149","157.54","999"
"INVO00001592","LOYAL5047","9.6","322"
"INVO00001592","DIS3322","97.9","89"
"INVO00001592","VAL7850","6.49","849"
"INVO00001598","LOYAL6160","5.8","701"
"INVO00001598","5YEARS7959","492.8","546"
"INVO00001601","LOYAL3235","6.01","502"
"INVO00001601","LOYAL2692","4.34","659"
"INVO00001601","DIS2387","19.93","686"
"INVO00001609","LOYAL3025","2.4","116"
"INVO00001611","DIS3130","30.91","762"
"INVO00001611","LOYAL4964","7.58","86"
"INVO00001616","VAL7024","7.53","13"
"INVO00001616","5YEARS3307","32.21","54"
"INVO00001620","LOYAL8782","6.97","853"
"INVO00001623","DIS5153","35.39","648"
"INVO00001623","LOYAL3326","454.81","772"
"INVO00001625","DIS0824","75.05","2"
"INVO00001632","CM6158","42.12","484"
"INVO00001642","DIS5583","456.45","652"
"INVO00001642","VAL8580","443.3","794"
"INVO00001642","5YEARS9160","49.13","612"
"INVO00001649","CM7601","3.0","506"
"INVO00001649","5YEARS2886","339.67","265"
"INVO00001649","5YEARS1899","4.57","949"
"INVO00001656","CM4471","144.74","91"
"INVO00001656","CM6528","1.25","923"
"INVO00001659","CM6786","334.85","813"
"INVO00001665","DIS0873","3.84","920"
"INVO00001665","5YEARS0667","57.49","916"
"INVO00001670","CM9661","96.7","537"
"INVO00001670","VAL1777","27.24","250"
"INVO00001679","VAL8037","342.13","37"
"INVO00001679","DIS9226","27.24","826"
"INVO00001686","VAL2986","93.84","36"
"INVO00001686","VAL7227","7.14","457"
"INVO00001686","10YEARS3464","44.6","950"
"INVO00001696","10YEARS5111","7.14","980"
"INVO00001697","CM2058","53.42","433"
"INVO00001697","LOYAL4528","7.99","926"
"INVO00001697","DIS1766","4.62","489"
"INVO00001701","DIS4559","49.04","580"
"INVO00001705","CM8316","5.59","291"
"INVO00001705","VAL4181","36.16","624"
"INVO00001705","5YEARS9680","88.99","764"
"INVO00001713","5YEARS2171","68.05","862"
"INVO00001713","DIS9587","5.19","337"
"INVO00001713","10YEARS5472","2.37","538"
"INVO00001717","DIS2434","63.73","324"
"INVO00001717","5YEARS7521","24.21","552"
"INVO00001717","5YEARS8191","29.26","776"
"INVO00001724","DIS0674","32.48","197"
"INVO00001724","LOYAL5195","6.66","148"
"INVO00001724","10YEARS8067","66.21","756"
"INVO00001729","VAL8813","309.25","775"
"INVO00001729","VAL0148","21.07","441"
"INVO00001729","LOYAL2056","84.57","560"
"INVO00001737","DIS3554","321.57","947"
"INVO00001737","5YEARS3878","2.81","364"
"INVO00001737","10YEARS6000","1.49","510"
"INVO00001746","LOYAL3057","39.13","25"
"INVO00001755","DIS1796","69.24","554"
"INVO00001757","10YEARS0911","421.78","845"
"INVO00001757","LOYAL5732","30.18","579"
"INVO00001767","VAL5991","23.04","879"
"INVO00001767","CM9812","2.21","337"
"INVO00001769","5YEARS6837","351.17","278"
"INVO00001769","5YEARS7850","78.11","953"
"INVO00001769","DIS5190","60.8","527"
"INVO00001777","10YEARS8944","58.5","466"
"INVO00001777","VAL1424","2.3","269"
"INVO00001783","10YEARS9342","4.49","611"
"INVO00001788","DIS3240","18.36","367"
"INVO00001788","LOYAL2984","70.03","728"
"INVO00001788","10YEARS8199","41.73","614"
"INVO00001793","VAL0755","63.11","147"
"INVO00001793","VAL8004","92.2","662"
"INVO00001793","5YEARS3066","333.38","143"
"INVO00001803","CM7487","8.58","7"
"INVO00001803","DIS5963","3.75","911"
"INVO00001803","CM7794","3.91","317"
"INVO00001804","10YEARS7249","93.62","255"
"INVO00001804","LOYAL7828","3.69","582"
"INVO00001804","DIS5378","49.92","848"
"INVO00001813","LOYAL4923","353.77","374"
"INVO00001816","LOYAL4159","464.83","712"
"INVO00001816","10YEARS2842","54.95","420"
"INVO00001825","CM8732","4.22","107"
"INVO00001825","CM3210","76.19","620"
"INVO00001825","DIS2027","23.08","690"
"INVO00001835","10YEARS7263","14.91","792"
"INVO00001835","DIS9306","6.96","936"
"INVO00001844","5YEARS1411","20.44","750"
"INVO00001846","DIS0223","297.05","546"
"INVO00001853","5YEARS1223","1.75","713"
"INVO00001853","5YEARS6142","9.05","54"
"INVO00001853","CM4195","9.62","994"
"INVO00001855","10YEARS0044","265.7","648"
"INVO00001858","VAL4218","3.52","274"
"INVO00001864","10YEARS8413","4.78","500"
"INVO00001864","DIS3133","80.23","424"
"INVO00001864","LOYAL5676","9.69","764"
"INVO00001871","DIS9858","76.53","264"
"INVO00001871","DIS5173","93.93","985"
"INVO00001871","VAL7335","65.91","654"
"INVO00001878","VAL7120","478.77","706"
"INVO00001878","DIS1297","67.67","815"
"INVO00001878","CM2995","52.73","842"
"INVO00001883","DIS0891","2.8","409"
"INVO00001885","CM2233","4.55","429"
"INVO00001885","CM5025","90.58","631"
"INVO00001894","VAL5815","7.17","979"
"INVO00001894","10YEARS6408","54.59","586"
"INVO00001896","10YEARS7788","97.72","610"
"INVO00001896","VAL0331","9.22","224"
"INVO00001899","CM9626","5.29","140"
"INVO00001899","DIS3960","5.99","635"
"INVO00001906","VAL0555","388.19","350"
